-125,-968,-125
-156,-843,-156
-125,-562,-187
-218,-593,-343
-218,-1062,-281
-156,-1218,-31
-187,-1218,-93
-218,-1218,0
-281,-1156,31
-218,-1156,62
-156,-1000,31
-218,-906,0
-187,-625,-31
156,-593,-375
-31,-1281,31
-156,-1343,-31
-125,-1250,31
-31,-1250,31
-93,-1218,31
-93,-1062,-62
-62,-812,-125
-187,-625,-187
-281,-625,-406
-281,-937,-437
-281,-1218,-281
-125,-1250,-187
-62,-1343,-93
-218,-1250,0
-250,-1218,0
-187,-968,-31
-218,-843,0
-125,-531,-125
93,-375,-406
